alpha,B,lambda,cw_lo,cw_hi,mv,vol_mean,vol_median,vol_max,guarantee
0.01,0.8,5.966939439503833,0.9885465159240375,0.9873642207936156,0.15151515151515152,0.1348095192145995,0.16767730448275883,0.3937130203502047,0.009592490132407358
0.015,0.8,3.8338781529358417,0.9821177861523683,0.9806399172393409,0.0707070707070707,0.10805973492802266,0.13440567981708235,0.3155899143073783,0.01492948012713503
0.1,0.8,0.5417255649252304,0.9060814305771078,0.906524791251016,0.0,0.04061948476904589,0.05052288410516404,0.11862975349709773,0.1056583100375055
0.15,0.8,0.35992235402505013,0.8695780684253307,0.8710559373383581,0.0,0.03310923566743873,0.04118156805650347,0.09669596963225661,0.15902820998478226
0.2,0.8,0.26948360186642806,0.8328530259365994,0.8317446242518288,0.0,0.028649095591700386,0.03563400531855742,0.08367007034387935,0.212398109932059
0.25,0.8,0.21536755954977416,0.8003399098499963,0.8005615901869504,0.0,0.02561149253939324,0.031855807051351534,0.07479870963199181,0.26576800987933574
0.3,0.8,0.17935132722154534,0.7693046626764206,0.7688613020025123,0.0,0.02337206267346328,0.02907038384322055,0.06825842448362483,0.3191379098266125
0.35,0.8,0.153655322632983,0.7423335550136703,0.7408556861006429,0.0,0.02163308960869162,0.02690743335005201,0.06317973017755718,0.37250780977388925
0.4,0.8,0.13439963254143542,0.7176531441661125,0.7156580211335255,0.0,0.020232231492402122,0.02516503330092564,0.05908850514196855,0.42587770972116606
0.45,0.8,0.11943264095508284,0.6960023645902609,0.6932683071011602,0.0,0.019072440234900293,0.023722474400385378,0.055701319121076974,0.47924760966844276
0.5,0.8,0.10746512583750685,0.6763467080469963,0.6734648636665928,0.0,0.01809166429939787,0.022502576383355784,0.052836949764201176,0.5326175096157195
0.01,0.9,7.377553716346303,0.9909849996305328,0.9893593438262026,0.1919191919191919,0.14989975911477307,0.18644668193622624,0.4377842696471394,0.009094302420348322
0.015,0.9,4.618412861511585,0.9846301633045149,0.9839651222936525,0.10101010101010101,0.11860175670619306,0.14751794225864073,0.3463780311930559,0.01452743759180908
0.1,0.9,0.6276849373409809,0.9181999556639326,0.9181999556639326,0.0,0.04372356835786886,0.05438377146753537,0.12769527151314772,0.106890735506642
0.15,0.9,0.4161570277076452,0.8852434789034213,0.8859085199142837,0.0,0.03560191519172009,0.04428198548997504,0.10397587382587416,0.1612220872212496
0.2,0.9,0.31126251081887496,0.8518436414690017,0.8517697480233504,0.0,0.03078989110942337,0.038296746228486354,0.08992229254706942,0.21555343893585718
0.25,0.9,0.24860128078026025,0.8213256484149856,0.8196999926106554,0.0,0.027516704860011402,0.03422552744090395,0.08036290792844092,0.2698847906504647
0.3,0.9,0.20694128345796367,0.7936156062957216,0.793098352176162,0.0,0.025105467555305024,0.03122640857988472,0.07332085683629354,0.32421614236507235
0.35,0.9,0.17723985937863712,0.7670139658612282,0.767383433089485,0.0,0.023234078009764698,0.02889875726518859,0.06785543841095519,0.37854749407967997
