alpha,cw_lo,cw_hi,mv,vol_mean,vol_median,vol_max
0.4,0.9967753181105107,0.9966010109813491,0.4125,0.1403016989064259,0.1555332868832873,0.5825054126745903
0.45,0.9972982394979955,0.9970367788042531,0.425,0.1489933068540172,0.1651684827713384,0.6185912812975649
0.5,0.9977340073208995,0.9977340073208995,0.5,0.1617496865095729,0.17930973460238664,0.6715532928299349
0.55,0.9982569287083842,0.9986055429667073,0.55,0.1844014206663925,0.20442061133785872,0.765598894954921
0.6,0.9984312358375458,0.9986926965312881,0.6,0.19225236004176796,0.21312387306377673,0.7981944708915059
0.65,0.9986055429667073,0.9987798500958689,0.6375,0.20156760790936393,0.2234504131575359,0.8368695713754927
0.7,0.9990413107896113,0.9991284643541921,0.675,0.2118564043724765,0.23485619330456264,0.8795866566024325
0.75,0.9993899250479344,0.9994770786125152,0.775,0.2303261641839717,0.2553310875775294,0.9562695132239414
0.8,0.9994770786125152,0.9996513857416769,0.775,0.24018094748504532,0.26625573674632375,0.9971846600707314
0.85,0.9998256928708384,0.9997385393062577,0.8125,0.2694172670491318,0.2986660419216395,1.1185681823338707
0.9,0.9999128464354192,0.9999128464354192,0.9125,0.3458146531729363,0.3833573654461813,1.4357552960906852
0.95,1.0,0.9999128464354192,0.9375,0.48620657970524767,0.538990675346517,2.018635316349223
