seed,alpha,error,prop_dim,cw_coverage_0,mv_coverage_0,volume_0,cw_coverage_1,mv_coverage_1,volume_1
12.0,0.4,0.22455412383753012,5.0,0.38865,0.002,0.2325222536980835,0.6907199999999999,0.30740000000000006,0.14384459950762493
12.0,0.4,0.22455412383753012,10.0,0.38865,0.002,0.2325222536980835,0.7258799999999997,0.27490000000000003,0.12272447807252246
12.0,0.4,0.22455412383753012,15.0,0.38865,0.002,0.2325222536980835,0.7732333333333332,0.3045,0.12923329498295466
12.0,0.4,0.22455412383753012,20.0,0.38865,0.002,0.2325222536980835,0.7781650000000001,0.2899,0.12866489935728398
12.0,0.4,0.22455412383753012,25.0,0.38865,0.002,0.2325222536980835,0.8323800000000002,0.3287,0.12272308686846709
12.0,0.4,0.22455412383753012,30.0,0.38865,0.002,0.2325222536980835,0.81823,0.32239999999999996,0.13297813514485615
12.0,0.4,0.22455412383753012,35.0,0.38865,0.002,0.2325222536980835,0.8044342857142855,0.281,0.12533499556592767
12.0,0.4,0.22455412383753012,40.0,0.38865,0.002,0.2325222536980835,0.8294725000000001,0.3029,0.12030819640063617
12.0,0.4,0.22455412383753012,45.0,0.38865,0.002,0.2325222536980835,0.8386733333333332,0.3164,0.12449494344036556
12.0,0.4,0.22455412383753012,50.0,0.38865,0.002,0.2325222536980835,0.8288399999999999,0.3018,0.13333453737648726
12.0,0.4,0.22455412383753012,55.0,0.38865,0.002,0.2325222536980835,0.8422636363636363,0.303,0.12281106276810677
12.0,0.4,0.22455412383753012,60.0,0.38865,0.002,0.2325222536980835,0.8364716666666666,0.3,0.12657118846659585
12.0,0.4,0.22455412383753012,65.0,0.38865,0.002,0.2325222536980835,0.8477569230769229,0.3108,0.13303901798308007
12.0,0.4,0.22455412383753012,70.0,0.38865,0.002,0.2325222536980835,0.8331257142857141,0.29190000000000005,0.12629936394746225
12.0,0.4,0.22455412383753012,75.0,0.38865,0.002,0.2325222536980835,0.8751226666666667,0.3446,0.1304843632270335
12.0,0.4,0.22455412383753012,80.0,0.38865,0.002,0.2325222536980835,0.86601875,0.3212,0.11626096286504133
12.0,0.4,0.22455412383753012,85.0,0.38865,0.002,0.2325222536980835,0.8525882352941175,0.29979999999999996,0.12266117957959748
12.0,0.4,0.22455412383753012,90.0,0.38865,0.002,0.2325222536980835,0.8629988888888886,0.3161,0.1263797936091617
12.0,0.4,0.22455412383753012,95.0,0.38865,0.002,0.2325222536980835,0.8681305263157895,0.31980000000000003,0.12430107475132195
12.0,0.4,0.22455412383753012,100.0,0.38865,0.002,0.2325222536980835,0.8669040000000001,0.31020000000000003,0.12402669179709622
12.0,0.45,0.22455412383753012,5.0,0.43841,0.007,0.2657050102540588,0.73308,0.3902,0.17031807744100674
12.0,0.45,0.22455412383753012,10.0,0.43841,0.007,0.2657050102540588,0.7964699999999998,0.3768,0.15806555382583984
12.0,0.45,0.22455412383753012,15.0,0.43841,0.007,0.2657050102540588,0.8121933333333331,0.3741,0.15043139692149032
12.0,0.45,0.22455412383753012,20.0,0.43841,0.007,0.2657050102540588,0.8268400000000001,0.37520000000000003,0.16555396256616164
12.0,0.45,0.22455412383753012,25.0,0.43841,0.007,0.2657050102540588,0.8497560000000004,0.366,0.13223340306851358
12.0,0.45,0.22455412383753012,30.0,0.43841,0.007,0.2657050102540588,0.8253066666666665,0.36360000000000003,0.16458158205234552
12.0,0.45,0.22455412383753012,35.0,0.43841,0.007,0.2657050102540588,0.8579999999999999,0.3826000000000001,0.1452807790257587
12.0,0.45,0.22455412383753012,40.0,0.43841,0.007,0.2657050102540588,0.8749150000000001,0.3744,0.12665574904097077
12.0,0.45,0.22455412383753012,45.0,0.43841,0.007,0.2657050102540588,0.8521711111111109,0.359,0.15107457359661228
12.0,0.45,0.22455412383753012,50.0,0.43841,0.007,0.2657050102540588,0.8773719999999999,0.39380000000000004,0.15081587668173718
12.0,0.45,0.22455412383753012,55.0,0.43841,0.007,0.2657050102540588,0.8708509090909089,0.3713000000000001,0.14077615106954725
12.0,0.45,0.22455412383753012,60.0,0.43841,0.007,0.2657050102540588,0.8678916666666666,0.3737,0.14876936854989545
12.0,0.45,0.22455412383753012,65.0,0.43841,0.007,0.2657050102540588,0.8933661538461537,0.4000999999999999,0.1437861172432426
12.0,0.45,0.22455412383753012,70.0,0.43841,0.007,0.2657050102540588,0.8865814285714285,0.4003,0.14731454103086702
12.0,0.45,0.22455412383753012,75.0,0.43841,0.007,0.2657050102540588,0.8811573333333332,0.3731000000000001,0.14206651069526194
12.0,0.45,0.22455412383753012,80.0,0.43841,0.007,0.2657050102540588,0.8812424999999999,0.37979999999999997,0.15365324397528124
12.0,0.45,0.22455412383753012,85.0,0.43841,0.007,0.2657050102540588,0.8900223529411763,0.3796,0.14536616439820144
12.0,0.45,0.22455412383753012,90.0,0.43841,0.007,0.2657050102540588,0.8859944444444442,0.38510000000000005,0.14828866833193696
12.0,0.45,0.22455412383753012,95.0,0.43841,0.007,0.2657050102540588,0.8855642105263156,0.3719,0.14579173693367845
12.0,0.45,0.22455412383753012,100.0,0.43841,0.007,0.2657050102540588,0.889451,0.37679999999999997,0.1467502537677339
12.0,0.5,0.22455412383753012,5.0,0.48548,0.019,0.30004898807026026,0.72302,0.3919,0.17740349477595999
12.0,0.5,0.22455412383753012,10.0,0.48548,0.019,0.30004898807026026,0.8250199999999999,0.4336999999999999,0.15739837076589644
